project_id	usd	precision_code	latitude	longitude
P000527	42340000	6	15	19
P001177	180000000	6	8	-5.5
P001177	180000000	1	5.2118	-3.73884
P001177	180000000	1	7.25957	-8.15498
P001177	180000000	1	8.0402	-2.80003
P004397	40000000	4	-5.87833	149.82605
P004397	40000000	1	-4.48333	152.15
P004397	40000000	1	-2.10482	147.08844
P004397	40000000	3	-9.75	147.83333
P004397	40000000	3	-4.18333	152.16667
P004397	40000000	3	-9	148.33333
P004397	40000000	1	-8.75931	148.24095
P004397	40000000	1	-9.05097	148.56606
P004397	40000000	8	-6	147
P004397	40000000	2	-9.95	148.1
P004397	40000000	4	-9	148.5
P004397	40000000	1	-2.0362	147.02616
P004397	40000000	4	-7.0106	146.9672
P004397	40000000	2	-2.15598	147.0511
P004397	40000000	3	-7.25	146.16667
P004397	40000000	1	-9.88322	147.78997
P004397	40000000	4	-2	147
P004397	40000000	3	-2	147
P004397	40000000	1	-8.06667	146.16667
P004397	40000000	1	-9.38566	147.29764
P004397	40000000	1	-4.16684	152.18657
P004397	40000000	3	-4.4	152.28333
P004397	40000000	1	-5.49801	150.5796
P004397	40000000	1	-5.55021	150.14285
P004397	40000000	3	-8.75	146.75
P004397	40000000	2	-5.45437	150.40939
P004397	40000000	4	-7.7246	145.08545
P004397	40000000	4	-4.61283	151.88775
P004397	40000000	1	-8.62702	146.54792
P004397	40000000	1	-7.3517	146.1924
P004397	40000000	1	-8.76667	146.65
P004397	40000000	1	-9.96426	147.93899
P004397	40000000	1	-9.12799	148.3907
P004397	40000000	1	-10.07521	148.18442
P004397	40000000	4	-10	148
P004397	40000000	3	-10.08333	148.91667
P004397	40000000	1	-9.01922	146.81674
P004397	40000000	1	-10.13	148.4
P004397	40000000	3	-9.13648	147.27905
P004397	40000000	3	-9.47113	148.32848
P004397	40000000	3	-5.68119	150.06101
P004397	40000000	3	-5.51452	150.94335
P006449	136000000	5	-2.93028	-41.2725
P006449	136000000	2	-6.16667	-40.53333
P006449	136000000	3	-7.17968	-39.78451
P006449	136000000	2	-6.1	-39.06667
P006449	136000000	3	-7.59509	-39.07443
P006449	136000000	5	-3.1874	-39.40554
P006449	136000000	3	-7.23707	-39.11196
P006449	136000000	3	-3.99581	-38.72969
P006449	136000000	3	-4.76944	-39.47972
P006449	136000000	2	-4.53333	-38.75
P006449	136000000	3	-7.14669	-39.24697
P006449	136000000	3	-7.63821	-39.24037
P006449	136000000	5	-6.16478	-40.3093
P006449	136000000	1	-3.49444	-39.57861
P006449	136000000	2	-3.71722	-38.54306
P006449	136000000	3	-7.14714	-39.47132
P006449	136000000	5	-2.89556	-40.83778
P006449	136000000	4	-5	-39.5
P006449	136000000	5	-3.9	-38.33333
P006449	136000000	3	-4.4623	-38.92072
P006449	136000000	5	-4.20419	-38.93915
P006449	136000000	5	-5.06667	-39.63333
P006449	136000000	1	-3.31056	-39.515
P006449	136000000	3	-7.43604	-39.35273
P006449	136000000	5	-3.98333	-38.63333
P006449	136000000	2	-7.38738	-40.21606
P006449	136000000	3	-5.95535	-43.63105
P006449	136000000	3	-4.41898	-39.04818
P006449	136000000	3	-4.201	-39.14149
P006449	136000000	3	-3.72271	-38.52465
P006449	136000000	3	-4.12964	-38.84258
P006449	136000000	3	-4.61918	-38.9313
P006449	136000000	3	-4.87622	-39.47587
P006449	136000000	3	-7.08567	-39.67195
P006553	104000000	5	-20.66667	-51.58333
P006553	104000000	4	-22	-49
P009127	60000000	3	41.6242	61.72683
P009127	60000000	3	42.98175	61.07328
P009127	60000000	3	42.35583	61.76375
P009127	60000000	3	42.16667	61
P009127	60000000	4	44.21636	58.82986
P010556	200000000	4	26.13456	68.7696
P010556	200000000	1	33.6007	73.0679
P010556	200000000	4	30.86017	72.31976
P010556	200000000	1	34.008	71.57849
P010556	200000000	4	34.45993	72.50237
P010556	200000000	1	34.37002	73.47082
P010556	200000000	1	31.54972	74.34361
P010556	200000000	1	24.9056	67.0822
P010556	200000000	1	25.39242	68.37366
P010556	200000000	1	32.16167	74.18831
P010556	200000000	4	33.01455	69.99925
P010556	200000000	4	33.94718	73.9104
P034038	65000000	1	33.835	35.50611
P034038	65000000	1	33.86444	35.55056
P034038	65000000	8	33.83333	35.83333
P034038	65000000	1	33.90833	35.58139
P034038	65000000	1	33.89611	35.55861
P034038	65000000	1	33.88861	35.53944
P034038	65000000	4	33.88333	35.5
P034038	65000000	1	33.88894	35.49442
P034038	65000000	3	33.84592	35.66791
P034038	65000000	1	33.83389	35.54417
P034038	65000000	1	33.80861	35.51778
P034038	65000000	1	33.86444	35.51861
P034038	65000000	1	33.915	35.59306
P034038	65000000	1	33.88	35.50278
P034038	65000000	1	33.89056	35.56639
P034038	65000000	3	33.77565	35.59297
P034038	65000000	1	33.87806	35.55083
P034038	65000000	1	33.83306	35.51694
P034038	65000000	1	33.89583	35.48306
P034038	65000000	5	33.84778	35.55694
P034038	65000000	3	33.89417	35.73639
P034038	65000000	1	33.88391	35.52046
P034038	65000000	1	33.87868	35.51499
