GID_LAT	GID_LON	mean
-88.92773	0	5.7077
-88.92773	1.40625	5.68229
-88.92773	2.8125	5.65878
-88.92773	4.21875	5.63009
-88.92773	5.625	5.61107
-88.92773	7.03125	5.58822
-88.92773	8.4375	5.56511
-88.92773	9.84375	5.54218
-88.92773	11.25	5.51437
-88.92773	12.65625	5.48164
-88.92773	14.0625	5.45539
-88.92773	15.46875	5.43181
-88.92773	16.875	5.40883
-88.92773	18.28125	5.39376
-88.92773	19.6875	5.37473
-88.92773	21.09375	5.35875
-88.92773	22.5	5.33257
-88.92773	23.90625	5.31172
-88.92773	25.3125	5.30069
-88.92773	26.71875	5.28877
-88.92773	28.125	5.27499
-88.92773	29.53125	5.25786
-88.92773	30.9375	5.24516
-88.92773	32.34375	5.22881
-88.92773	33.75	5.21912
-88.92773	35.15625	5.20495
-88.92773	36.5625	5.19491
-88.92773	37.96875	5.17924
-88.92773	39.375	5.16554
-88.92773	40.78125	5.16787
-88.92773	42.1875	5.16212
-88.92773	43.59375	5.14973
-88.92773	45	5.13515
-88.92773	46.40625	5.11989
-88.92773	47.8125	5.11196
-88.92773	49.21875	5.104
-88.92773	50.625	5.10838
-88.92773	52.03125	5.10494
-88.92773	53.4375	5.0961
-88.92773	54.84375	5.09265
-88.92773	56.25	5.09229
-88.92773	57.65625	5.09274
-88.92773	59.0625	5.09354
-88.92773	60.46875	5.0931
-88.92773	61.875	5.08794
-88.92773	63.28125	5.08536
-88.92773	64.6875	5.07901
-88.92773	66.09375	5.07309
-88.92773	67.5	5.08481
-88.92773	68.90625	5.09914
-88.92773	70.3125	5.10713
-88.92773	71.71875	5.11208
-88.92773	73.125	5.11362
-88.92773	74.53125	5.10675
-88.92773	75.9375	5.10569
-88.92773	77.34375	5.11645
-88.92773	78.75	5.13051
-88.92773	80.15625	5.14489
-88.92773	81.5625	5.16034
-88.92773	82.96875	5.16908
-88.92773	84.375	5.17496
-88.92773	85.78125	5.17595
-88.92773	87.1875	5.18683
-88.92773	88.59375	5.19716
-88.92773	90	5.20975
-88.92773	91.40625	5.21357
-88.92773	92.8125	5.23814
-88.92773	94.21875	5.25509
-88.92773	95.625	5.2635
-88.92773	97.03125	5.27619
-88.92773	98.4375	5.29786
-88.92773	99.84375	5.32181
-88.92773	101.25	5.33678
-88.92773	102.65625	5.34917
-88.92773	104.0625	5.3652
-88.92773	105.46875	5.39333
-88.92773	106.875	5.42339
-88.92773	108.28125	5.44745
-88.92773	109.6875	5.46232
-88.92773	111.09375	5.4726
-88.92773	112.5	5.48804
-88.92773	113.90625	5.5125
-88.92773	115.3125	5.53269
-88.92773	116.71875	5.56928
-88.92773	118.125	5.59002
-88.92773	119.53125	5.6079
-88.92773	120.9375	5.64211
-88.92773	122.34375	5.67087
-88.92773	123.75	5.68748
-88.92773	125.15625	5.71183
-88.92773	126.5625	5.73792
-88.92773	127.96875	5.76414
-88.92773	129.375	5.79229
-88.92773	130.78125	5.81495
-88.92773	132.1875	5.84452
-88.92773	133.59375	5.87346
-88.92773	135	5.90573
-88.92773	136.40625	5.9418
-88.92773	137.8125	5.96673
-88.92773	139.21875	5.9926
-88.92773	140.625	6.02676
-88.92773	142.03125	6.06779
-88.92773	143.4375	6.0956
-88.92773	144.84375	6.12515
-88.92773	146.25	6.16146
-88.92773	147.65625	6.18316
-88.92773	149.0625	6.21118
-88.92773	150.46875	6.24772
-88.92773	151.875	6.29449
-88.92773	153.28125	6.32976
-88.92773	154.6875	6.36434
-88.92773	156.09375	6.40173
-88.92773	157.5	6.44193
-88.92773	158.90625	6.47938
-88.92773	160.3125	6.51833
-88.92773	161.71875	6.55085
-88.92773	163.125	6.58203
-88.92773	164.53125	6.61568
-88.92773	165.9375	6.65675
-88.92773	167.34375	6.69416
-88.92773	168.75	6.73815
-88.92773	170.15625	6.77698
-88.92773	171.5625	6.82178
-88.92773	172.96875	6.86406
-88.92773	174.375	6.90129
-88.92773	175.78125	6.93697
-88.92773	177.1875	6.97035
-88.92773	178.59375	7.00698
-88.92773	180	7.04372
-88.92773	-178.59375	7.0811
-88.92773	-177.1875	7.1071
-88.92773	-175.78125	7.13738
-88.92773	-174.375	7.17773
-88.92773	-172.96875	7.2163
-88.92773	-171.5625	7.25432
-88.92773	-170.15625	7.2962
-88.92773	-168.75	7.30399
-88.92773	-167.34375	7.32693
-88.92773	-165.9375	7.35414
-88.92773	-164.53125	7.38696
-88.92773	-163.125	7.42625
-88.92773	-161.71875	7.45964
-88.92773	-160.3125	7.48267
-88.92773	-158.90625	7.51623
-88.92773	-157.5	7.53911
-88.92773	-156.09375	7.55295
-88.92773	-154.6875	7.57881
-88.92773	-153.28125	7.5905
-88.92773	-151.875	7.60418
-88.92773	-150.46875	7.62991
-88.92773	-149.0625	7.65528
-88.92773	-147.65625	7.67682
-88.92773	-146.25	7.69347
-88.92773	-144.84375	7.69144
-88.92773	-143.4375	7.68944
-88.92773	-142.03125	7.69896
-88.92773	-140.625	7.70666
-88.92773	-139.21875	7.71184
-88.92773	-137.8125	7.71581
-88.92773	-136.40625	7.72307
-88.92773	-135	7.73308
-88.92773	-133.59375	7.75296
-88.92773	-132.1875	7.76262
-88.92773	-130.78125	7.77073
-88.92773	-129.375	7.78176
-88.92773	-127.96875	7.78592
-88.92773	-126.5625	7.77923
-88.92773	-125.15625	7.7754
-88.92773	-123.75	7.77524
-88.92773	-122.34375	7.77819
-88.92773	-120.9375	7.77693
-88.92773	-119.53125	7.76197
-88.92773	-118.125	7.75988
-88.92773	-116.71875	7.75321
-88.92773	-115.3125	7.75918
-88.92773	-113.90625	7.76569
-88.92773	-112.5	7.76057
-88.92773	-111.09375	7.75402
-88.92773	-109.6875	7.74252
-88.92773	-108.28125	7.72635
-88.92773	-106.875	7.71145
-88.92773	-105.46875	7.70376
-88.92773	-104.0625	7.70203
-88.92773	-102.65625	7.69049
-88.92773	-101.25	7.68439
-88.92773	-99.84375	7.67662
-88.92773	-98.4375	7.66787
-88.92773	-97.03125	7.65326
-88.92773	-95.625	7.63517
-88.92773	-94.21875	7.61941
-88.92773	-92.8125	7.61292
-88.92773	-91.40625	7.59995
-88.92773	-90	7.58835
-88.92773	-88.59375	7.56965
-88.92773	-87.1875	7.55874
-88.92773	-85.78125	7.53476
-88.92773	-84.375	7.51342
-88.92773	-82.96875	7.49325
-88.92773	-81.5625	7.47006
-88.92773	-80.15625	7.44667
-88.92773	-78.75	7.43095
-88.92773	-77.34375	7.4083
-88.92773	-75.9375	7.37071
-88.92773	-74.53125	7.33817
-88.92773	-73.125	7.30574
-88.92773	-71.71875	7.27959
-88.92773	-70.3125	7.26561
-88.92773	-68.90625	7.23947
-88.92773	-67.5	7.21675
-88.92773	-66.09375	7.18702
