GID_LAT	GID_LON	mean
-88.92773	0	4.68707
-88.92773	1.40625	4.6623
-88.92773	2.8125	4.63994
-88.92773	4.21875	4.61795
-88.92773	5.625	4.59791
-88.92773	7.03125	4.57841
-88.92773	8.4375	4.55796
-88.92773	9.84375	4.53798
-88.92773	11.25	4.51885
-88.92773	12.65625	4.49879
-88.92773	14.0625	4.47826
-88.92773	15.46875	4.4589
-88.92773	16.875	4.44165
-88.92773	18.28125	4.42497
-88.92773	19.6875	4.40927
-88.92773	21.09375	4.39589
-88.92773	22.5	4.38163
-88.92773	23.90625	4.36796
-88.92773	25.3125	4.35341
-88.92773	26.71875	4.33937
-88.92773	28.125	4.32722
-88.92773	29.53125	4.315
-88.92773	30.9375	4.30147
-88.92773	32.34375	4.2903
-88.92773	33.75	4.28143
-88.92773	35.15625	4.27327
-88.92773	36.5625	4.26292
-88.92773	37.96875	4.25501
-88.92773	39.375	4.24757
-88.92773	40.78125	4.24124
-88.92773	42.1875	4.23456
-88.92773	43.59375	4.22744
-88.92773	45	4.22169
-88.92773	46.40625	4.21588
-88.92773	47.8125	4.20917
-88.92773	49.21875	4.20589
-88.92773	50.625	4.20269
-88.92773	52.03125	4.19922
-88.92773	53.4375	4.19699
-88.92773	54.84375	4.19603
-88.92773	56.25	4.19658
-88.92773	57.65625	4.19515
-88.92773	59.0625	4.19234
-88.92773	60.46875	4.19369
-88.92773	61.875	4.19568
-88.92773	63.28125	4.19666
-88.92773	64.6875	4.19735
-88.92773	66.09375	4.20071
-88.92773	67.5	4.20634
-88.92773	68.90625	4.21181
-88.92773	70.3125	4.21411
-88.92773	71.71875	4.22013
-88.92773	73.125	4.22695
-88.92773	74.53125	4.23461
-88.92773	75.9375	4.23939
-88.92773	77.34375	4.24493
-88.92773	78.75	4.25369
-88.92773	80.15625	4.26578
-88.92773	81.5625	4.27645
-88.92773	82.96875	4.28744
-88.92773	84.375	4.30012
-88.92773	85.78125	4.31209
-88.92773	87.1875	4.32416
-88.92773	88.59375	4.33583
-88.92773	90	4.35054
-88.92773	91.40625	4.36694
-88.92773	92.8125	4.38184
-88.92773	94.21875	4.39744
-88.92773	95.625	4.41467
-88.92773	97.03125	4.4334
-88.92773	98.4375	4.45152
-88.92773	99.84375	4.47067
-88.92773	101.25	4.48906
-88.92773	102.65625	4.5083
-88.92773	104.0625	4.52849
-88.92773	105.46875	4.54786
-88.92773	106.875	4.56777
-88.92773	108.28125	4.58946
-88.92773	109.6875	4.61211
-88.92773	111.09375	4.63311
-88.92773	112.5	4.6563
-88.92773	113.90625	4.68203
-88.92773	115.3125	4.70492
-88.92773	116.71875	4.72747
-88.92773	118.125	4.75455
-88.92773	119.53125	4.77988
-88.92773	120.9375	4.80232
-88.92773	122.34375	4.82822
-88.92773	123.75	4.8538
-88.92773	125.15625	4.87971
-88.92773	126.5625	4.90739
-88.92773	127.96875	4.93623
-88.92773	129.375	4.96285
-88.92773	130.78125	4.99055
-88.92773	132.1875	5.01753
-88.92773	133.59375	5.04722
-88.92773	135	5.07966
-88.92773	136.40625	5.11179
-88.92773	137.8125	5.14193
-88.92773	139.21875	5.17428
-88.92773	140.625	5.20396
-88.92773	142.03125	5.23469
-88.92773	143.4375	5.26722
-88.92773	144.84375	5.30259
-88.92773	146.25	5.33724
-88.92773	147.65625	5.37228
-88.92773	149.0625	5.40815
-88.92773	150.46875	5.44337
-88.92773	151.875	5.48064
-88.92773	153.28125	5.51982
-88.92773	154.6875	5.55722
-88.92773	156.09375	5.5943
-88.92773	157.5	5.63469
-88.92773	158.90625	5.67195
-88.92773	160.3125	5.71005
-88.92773	161.71875	5.7483
-88.92773	163.125	5.78842
-88.92773	164.53125	5.82772
-88.92773	165.9375	5.86824
-88.92773	167.34375	5.90969
-88.92773	168.75	5.95337
-88.92773	170.15625	5.99247
-88.92773	171.5625	6.0336
-88.92773	172.96875	6.0756
-88.92773	174.375	6.11231
-88.92773	175.78125	6.15315
-88.92773	177.1875	6.19405
-88.92773	178.59375	6.23318
-88.92773	180	6.27173
-88.92773	-178.59375	6.31195
-88.92773	-177.1875	6.34859
-88.92773	-175.78125	6.38494
-88.92773	-174.375	6.42067
-88.92773	-172.96875	6.45568
-88.92773	-171.5625	6.48784
-88.92773	-170.15625	6.51932
-88.92773	-168.75	6.55183
-88.92773	-167.34375	6.58467
-88.92773	-165.9375	6.61615
-88.92773	-164.53125	6.64243
-88.92773	-163.125	6.66836
-88.92773	-161.71875	6.69466
-88.92773	-160.3125	6.72
-88.92773	-158.90625	6.74265
-88.92773	-157.5	6.76346
-88.92773	-156.09375	6.78468
-88.92773	-154.6875	6.80425
-88.92773	-153.28125	6.82293
-88.92773	-151.875	6.83988
-88.92773	-150.46875	6.85258
-88.92773	-149.0625	6.86733
-88.92773	-147.65625	6.88167
-88.92773	-146.25	6.89487
-88.92773	-144.84375	6.90493
-88.92773	-143.4375	6.91303
-88.92773	-142.03125	6.9196
-88.92773	-140.625	6.92519
-88.92773	-139.21875	6.92732
-88.92773	-137.8125	6.93031
-88.92773	-136.40625	6.93303
-88.92773	-135	6.93653
-88.92773	-133.59375	6.93913
-88.92773	-132.1875	6.94015
-88.92773	-130.78125	6.93538
-88.92773	-129.375	6.93061
-88.92773	-127.96875	6.92737
-88.92773	-126.5625	6.92057
-88.92773	-125.15625	6.91373
-88.92773	-123.75	6.90534
-88.92773	-122.34375	6.89845
-88.92773	-120.9375	6.89441
-88.92773	-119.53125	6.88521
-88.92773	-118.125	6.87325
-88.92773	-116.71875	6.86306
-88.92773	-115.3125	6.85143
-88.92773	-113.90625	6.84035
-88.92773	-112.5	6.82764
-88.92773	-111.09375	6.81404
-88.92773	-109.6875	6.80145
-88.92773	-108.28125	6.78592
-88.92773	-106.875	6.76967
-88.92773	-105.46875	6.75442
-88.92773	-104.0625	6.73736
-88.92773	-102.65625	6.72046
-88.92773	-101.25	6.70174
-88.92773	-99.84375	6.68289
-88.92773	-98.4375	6.66341
-88.92773	-97.03125	6.64332
-88.92773	-95.625	6.62409
-88.92773	-94.21875	6.60096
-88.92773	-92.8125	6.57774
-88.92773	-91.40625	6.5579
-88.92773	-90	6.53781
-88.92773	-88.59375	6.51457
-88.92773	-87.1875	6.48863
-88.92773	-85.78125	6.46431
-88.92773	-84.375	6.43761
-88.92773	-82.96875	6.41282
-88.92773	-81.5625	6.38798
-88.92773	-80.15625	6.36163
-88.92773	-78.75	6.33373
-88.92773	-77.34375	6.30457
-88.92773	-75.9375	6.27784
-88.92773	-74.53125	6.25077
-88.92773	-73.125	6.22299
-88.92773	-71.71875	6.19231
-88.92773	-70.3125	6.1623
-88.92773	-68.90625	6.134
-88.92773	-67.5	6.10516
-88.92773	-66.09375	6.07544
-88.92773	-64.6875	6.04274
-88.92773	-63.28125	6.0101
-88.92773	-61.875	5.97913
-88.92773	-60.46875	5.94964
-88.92773	-59.0625	5.92206
-88.92773	-57.65625	5.89135
-88.92773	-56.25	5.85855
-88.92773	-54.84375	5.82703
-88.92773	-53.4375	5.79624
-88.92773	-52.03125	5.76551
-88.92773	-50.625	5.73664
-88.92773	-49.21875	5.70366
-88.92773	-47.8125	5.67014
-88.92773	-46.40625	5.6377
-88.92773	-45	5.60616
-88.92773	-43.59375	5.57575
-88.92773	-42.1875	5.54534
-88.92773	-40.78125	5.51417
-88.92773	-39.375	5.48191
-88.92773	-37.96875	5.45045
-88.92773	-36.5625	5.42139
-88.92773	-35.15625	5.38859
-88.92773	-33.75	5.35754
-88.92773	-32.34375	5.32626
-88.92773	-30.9375	5.29384
-88.92773	-29.53125	5.26401
-88.92773	-28.125	5.23457
-88.92773	-26.71875	5.20471
-88.92773	-25.3125	5.17482
-88.92773	-23.90625	5.14543
-88.92773	-22.5	5.11629
-88.92773	-21.09375	5.08802
-88.92773	-19.6875	5.05827
-88.92773	-18.28125	5.02949
-88.92773	-16.875	5.00138
-88.92773	-15.46875	4.97224
-88.92773	-14.0625	4.944
-88.92773	-12.65625	4.91754
-88.92773	-11.25	4.89114
-88.92773	-9.84375	4.86232
-88.92773	-8.4375	4.83631
-88.92773	-7.03125	4.81048
-88.92773	-5.625	4.78545
-88.92773	-4.21875	4.76024
-88.92773	-2.8125	4.73742
-88.92773	-1.40625	4.71252
-87.5387	0	4.38024
-87.5387	1.40625	4.33462
-87.5387	2.8125	4.29066
-87.5387	4.21875	4.24918
-87.5387	5.625	4.20603
-87.5387	7.03125	4.16511
-87.5387	8.4375	4.12791
-87.5387	9.84375	4.08954
-87.5387	11.25	4.05253
-87.5387	12.65625	4.0198
-87.5387	14.0625	3.98483
-87.5387	15.46875	3.9515
-87.5387	16.875	3.9221
-87.5387	18.28125	3.88964
-87.5387	19.6875	3.85988
-87.5387	21.09375	3.83217
-87.5387	22.5	3.80406
-87.5387	23.90625	3.77849
-87.5387	25.3125	3.75309
-87.5387	26.71875	3.72704
-87.5387	28.125	3.70129
-87.5387	29.53125	3.6795
-87.5387	30.9375	3.65725
-87.5387	32.34375	3.63598
-87.5387	33.75	3.61324
-87.5387	35.15625	3.59348
-87.5387	36.5625	3.5727
-87.5387	37.96875	3.55245
-87.5387	39.375	3.53281
-87.5387	40.78125	3.51633
-87.5387	42.1875	3.50193
-87.5387	43.59375	3.48465
-87.5387	45	3.46765
-87.5387	46.40625	3.45257
-87.5387	47.8125	3.44052
-87.5387	49.21875	3.42886
