GID_LAT	GID_LON	mean
-88.92773	0	226.853
-88.92773	1.40625	226.791
-88.92773	2.8125	226.729
-88.92773	4.21875	226.668
-88.92773	5.625	226.602
-88.92773	7.03125	226.542
-88.92773	8.4375	226.476
-88.92773	9.84375	226.416
-88.92773	11.25	226.357
-88.92773	12.65625	226.292
-88.92773	14.0625	226.224
-88.92773	15.46875	226.168
-88.92773	16.875	226.113
-88.92773	18.28125	226.057
-88.92773	19.6875	226.003
-88.92773	21.09375	225.94
-88.92773	22.5	225.875
-88.92773	23.90625	225.811
-88.92773	25.3125	225.759
-88.92773	26.71875	225.701
-88.92773	28.125	225.643
-88.92773	29.53125	225.592
-88.92773	30.9375	225.535
-88.92773	32.34375	225.486
-88.92773	33.75	225.436
-88.92773	35.15625	225.378
-88.92773	36.5625	225.321
-88.92773	37.96875	225.274
-88.92773	39.375	225.224
-88.92773	40.78125	225.174
-88.92773	42.1875	225.136
-88.92773	43.59375	225.09
-88.92773	45	225.051
-88.92773	46.40625	225.005
-88.92773	47.8125	224.964
-88.92773	49.21875	224.923
-88.92773	50.625	224.884
-88.92773	52.03125	224.848
-88.92773	53.4375	224.81
-88.92773	54.84375	224.769
-88.92773	56.25	224.742
-88.92773	57.65625	224.708
-88.92773	59.0625	224.677
-88.92773	60.46875	224.647
-88.92773	61.875	224.622
-88.92773	63.28125	224.599
-88.92773	64.6875	224.579
-88.92773	66.09375	224.557
-88.92773	67.5	224.538
-88.92773	68.90625	224.511
-88.92773	70.3125	224.508
-88.92773	71.71875	224.491
-88.92773	73.125	224.479
-88.92773	74.53125	224.468
-88.92773	75.9375	224.471
-88.92773	77.34375	224.456
-88.92773	78.75	224.452
-88.92773	80.15625	224.461
-88.92773	81.5625	224.465
-88.92773	82.96875	224.461
-88.92773	84.375	224.464
-88.92773	85.78125	224.473
-88.92773	87.1875	224.493
-88.92773	88.59375	224.507
-88.92773	90	224.536
-88.92773	91.40625	224.553
-88.92773	92.8125	224.57
-88.92773	94.21875	224.589
-88.92773	95.625	224.62
-88.92773	97.03125	224.654
-88.92773	98.4375	224.679
-88.92773	99.84375	224.712
-88.92773	101.25	224.75
-88.92773	102.65625	224.792
-88.92773	104.0625	224.843
-88.92773	105.46875	224.885
-88.92773	106.875	224.923
-88.92773	108.28125	224.979
-88.92773	109.6875	225.031
-88.92773	111.09375	225.076
-88.92773	112.5	225.146
-88.92773	113.90625	225.204
-88.92773	115.3125	225.262
-88.92773	116.71875	225.316
-88.92773	118.125	225.38
-88.92773	119.53125	225.451
-88.92773	120.9375	225.518
-88.92773	122.34375	225.582
-88.92773	123.75	225.661
-88.92773	125.15625	225.726
-88.92773	126.5625	225.792
-88.92773	127.96875	225.879
-88.92773	129.375	225.962
-88.92773	130.78125	226.031
-88.92773	132.1875	226.103
-88.92773	133.59375	226.181
-88.92773	135	226.264
