GID_LAT,GID_LON,mean_1870-1999,mean_1995-1999,mean_2015-2030,abs_diff_1995-1999_1870-1999,prct_abs_diff_1995-1999_1870-1999,abs_diff_2015-2030_1870-1999,prct_abs_diff_2015-2030_1870-1999
-88.92773,0,4.68707,5.16063,5.7077,0.47356,10.1035,1.02063,21.7754
-88.92773,1.40625,4.6623,5.12818,5.68229,0.46588,9.99249,1.01999,21.8774
-88.92773,2.8125,4.63994,5.10698,5.65878,0.46704,10.0656,1.01884,21.958
-88.92773,4.21875,4.61795,5.08076,5.63009,0.46281,10.022,1.01214,21.9175
-88.92773,5.625,4.59791,5.06216,5.61107,0.46425,10.097,1.01316,22.0352
-88.92773,7.03125,4.57841,5.03993,5.58822,0.46152,10.0804,1.00981,22.0559
-88.92773,8.4375,4.55796,5.01747,5.56511,0.45951,10.0815,1.00715,22.0965
-88.92773,9.84375,4.53798,4.98972,5.54218,0.45174,9.95465,1.0042,22.1288
-88.92773,11.25,4.51885,4.96534,5.51437,0.44649,9.88061,0.99552,22.0304
-88.92773,12.65625,4.49879,4.94984,5.48164,0.45105,10.026,0.98285,21.847
-88.92773,14.0625,4.47826,4.92442,5.45539,0.44616,9.9628,0.97713,21.8194
-88.92773,15.46875,4.4589,4.90389,5.43181,0.44499,9.97982,0.97291,21.8195
-88.92773,16.875,4.44165,4.88184,5.40883,0.44019,9.91051,0.96718,21.7752
-88.92773,18.28125,4.42497,4.86272,5.39376,0.43775,9.89272,0.96879,21.8937
-88.92773,19.6875,4.40927,4.84581,5.37473,0.43654,9.90051,0.96546,21.8961
-88.92773,21.09375,4.39589,4.83624,5.35875,0.44035,10.0173,0.96286,21.9036
-88.92773,22.5,4.38163,4.82669,5.33257,0.44506,10.1574,0.95094,21.7029
-88.92773,23.90625,4.36796,4.80708,5.31172,0.43912,10.0532,0.94376,21.6064
-88.92773,25.3125,4.35341,4.78208,5.30069,0.42867,9.84676,0.94728,21.7595
-88.92773,26.71875,4.33937,4.76937,5.28877,0.43,9.90927,0.9494,21.8788
-88.92773,28.125,4.32722,4.76568,5.27499,0.43846,10.1326,0.94777,21.9025
-88.92773,29.53125,4.315,4.74777,5.25786,0.43277,10.0294,0.94286,21.8508
-88.92773,30.9375,4.30147,4.73339,5.24516,0.43192,10.0412,0.94369,21.9388
-88.92773,32.34375,4.2903,4.71549,5.22881,0.42519,9.9105,0.93851,21.8752
-88.92773,33.75,4.28143,4.69947,5.21912,0.41804,9.76403,0.93769,21.9013
-88.92773,35.15625,4.27327,4.68549,5.20495,0.41222,9.64648,0.93168,21.8025
-88.92773,36.5625,4.26292,4.66581,5.19491,0.40289,9.45103,0.93199,21.8627
-88.92773,37.96875,4.25501,4.66247,5.17924,0.40746,9.57601,0.92423,21.721
-88.92773,39.375,4.24757,4.65902,5.16554,0.41145,9.68671,0.91797,21.6117
-88.92773,40.78125,4.24124,4.6533,5.16787,0.41206,9.71555,0.92663,21.8481
-88.92773,42.1875,4.23456,4.63842,5.16212,0.40386,9.53724,0.92756,21.9045
-88.92773,43.59375,4.22744,4.62475,5.14973,0.39731,9.39836,0.92229,21.8167
-88.92773,45,4.22169,4.61347,5.13515,0.39178,9.28017,0.91346,21.6373
-88.92773,46.40625,4.21588,4.60961,5.11989,0.39373,9.33921,0.90401,21.443
-88.92773,47.8125,4.20917,4.59803,5.11196,0.38886,9.2384,0.90279,21.4482
-88.92773,49.21875,4.20589,4.58203,5.104,0.37614,8.94317,0.89811,21.3536
-88.92773,50.625,4.20269,4.56152,5.10838,0.35883,8.5381,0.90569,21.5502
-88.92773,52.03125,4.19922,4.56104,5.10494,0.36182,8.61636,0.90572,21.5688
-88.92773,53.4375,4.19699,4.57303,5.0961,0.37604,8.95975,0.89911,21.4227
-88.92773,54.84375,4.19603,4.58136,5.09265,0.38533,9.1832,0.89662,21.3683
-88.92773,56.25,4.19658,4.57435,5.09229,0.37777,9.00185,0.89571,21.3438
