GID_LAT	GID_LON	mean_1870-1999	mean_1995-1999	mean_2015-2030	0	-nan	0	-nan
-88.92773	0	225.86	226.853	228.212	0.993	0.439653	2.352	1.04135
-88.92773	1.40625	225.793	226.791	228.146	0.998	0.441998	2.353	1.0421
-88.92773	2.8125	225.73	226.729	228.088	0.999	0.442564	2.358	1.04461
-88.92773	4.21875	225.668	226.668	228.021	1	0.443129	2.353	1.04268
-88.92773	5.625	225.602	226.602	227.96	1	0.443258	2.358	1.0452
-88.92773	7.03125	225.537	226.542	227.903	1.005	0.445603	2.366	1.04905
-88.92773	8.4375	225.472	226.476	227.842	1.004	0.445288	2.37	1.05113
-88.92773	9.84375	225.408	226.416	227.777	1.008	0.447189	2.369	1.05098
-88.92773	11.25	225.348	226.357	227.721	1.009	0.447752	2.373	1.05304
-88.92773	12.65625	225.284	226.292	227.659	1.008	0.447435	2.375	1.05422
-88.92773	14.0625	225.219	226.224	227.596	1.005	0.446232	2.377	1.05542
-88.92773	15.46875	225.156	226.168	227.535	1.012	0.449466	2.379	1.0566
-88.92773	16.875	225.096	226.113	227.48	1.017	0.451807	2.384	1.0591
-88.92773	18.28125	225.033	226.057	227.417	1.024	0.455044	2.384	1.0594
-88.92773	19.6875	224.973	226.003	227.36	1.03	0.457833	2.387	1.06102
-88.92773	21.09375	224.912	225.94	227.299	1.028	0.457068	2.387	1.0613
-88.92773	22.5	224.851	225.875	227.241	1.024	0.455413	2.39	1.06293
-88.92773	23.90625	224.795	225.811	227.187	1.016	0.451967	2.392	1.06408
-88.92773	25.3125	224.736	225.759	227.135	1.023	0.455201	2.399	1.06747
-88.92773	26.71875	224.674	225.701	227.077	1.027	0.457107	2.403	1.06955
-88.92773	28.125	224.618	225.643	227.02	1.025	0.45633	2.402	1.06937
-88.92773	29.53125	224.564	225.592	226.968	1.028	0.457776	2.404	1.07052
-88.92773	30.9375	224.509	225.535	226.911	1.026	0.456997	2.402	1.06989
-88.92773	32.34375	224.459	225.486	226.86	1.027	0.457545	2.401	1.06968
-88.92773	33.75	224.404	225.436	226.813	1.032	0.459885	2.409	1.07351
-88.92773	35.15625	224.347	225.378	226.755	1.031	0.459556	2.408	1.07334
-88.92773	36.5625	224.294	225.321	226.706	1.027	0.457881	2.412	1.07537
-88.92773	37.96875	224.245	225.274	226.653	1.029	0.458873	2.408	1.07383
-88.92773	39.375	224.198	225.224	226.61	1.026	0.457631	2.412	1.07583
-88.92773	40.78125	224.149	225.174	226.557	1.025	0.457285	2.408	1.07429
-88.92773	42.1875	224.103	225.136	226.505	1.033	0.460949	2.402	1.07183
-88.92773	43.59375	224.056	225.09	226.465	1.034	0.461492	2.409	1.07518
-88.92773	45	224.016	225.051	226.433	1.035	0.462021	2.417	1.07894
-88.92773	46.40625	223.969	225.005	226.388	1.036	0.462564	2.419	1.08006
-88.92773	47.8125	223.933	224.964	226.357	1.031	0.460406	2.424	1.08247
-88.92773	49.21875	223.895	224.923	226.312	1.028	0.459144	2.417	1.07952
-88.92773	50.625	223.853	224.884	226.265	1.031	0.46057	2.412	1.07749
-88.92773	52.03125	223.814	224.848	226.227	1.034	0.461991	2.413	1.07813
-88.92773	53.4375	223.777	224.81	226.188	1.033	0.46162	2.411	1.07741
-88.92773	54.84375	223.743	224.769	226.159	1.026	0.458562	2.416	1.07981
-88.92773	56.25	223.71	224.742	226.129	1.032	0.461312	2.419	1.08131
-88.92773	57.65625	223.68	224.708	226.103	1.028	0.459585	2.423	1.08324
-88.92773	59.0625	223.654	224.677	226.067	1.023	0.457403	2.413	1.0789
-88.92773	60.46875	223.624	224.647	226.039	1.023	0.457464	2.415	1.07994
-88.92773	61.875	223.602	224.622	226.01	1.02	0.456168	2.408	1.07691
-88.92773	63.28125	223.579	224.599	225.987	1.02	0.456215	2.408	1.07702
-88.92773	64.6875	223.553	224.579	225.964	1.026	0.458952	2.411	1.07849
-88.92773	66.09375	223.534	224.557	225.942	1.023	0.457649	2.408	1.07724
-88.92773	67.5	223.516	224.538	225.93	1.022	0.457238	2.414	1.08001
-88.92773	68.90625	223.498	224.511	225.906	1.013	0.453248	2.408	1.07741
-88.92773	70.3125	223.489	224.508	225.896	1.019	0.455951	2.407	1.07701
-88.92773	71.71875	223.476	224.491	225.878	1.015	0.454187	2.402	1.07484
-88.92773	73.125	223.467	224.479	225.869	1.012	0.452863	2.402	1.07488
-88.92773	74.53125	223.461	224.468	225.86	1.007	0.450638	2.399	1.07357
-88.92773	75.9375	223.456	224.471	225.856	1.015	0.454228	2.4	1.07404
-88.92773	77.34375	223.45	224.456	225.848	1.006	0.450213	2.398	1.07317
-88.92773	78.75	223.45	224.452	225.845	1.002	0.448422	2.395	1.07183
-88.92773	80.15625	223.458	224.461	225.843	1.003	0.448854	2.385	1.06731
-88.92773	81.5625	223.463	224.465	225.845	1.002	0.448396	2.382	1.06595
-88.92773	82.96875	223.466	224.461	225.85	0.995	0.445258	2.384	1.06683
-88.92773	84.375	223.47	224.464	225.854	0.994	0.444802	2.384	1.06681
-88.92773	85.78125	223.485	224.473	225.871	0.988	0.442088	2.386	1.06763
-88.92773	87.1875	223.505	224.493	225.888	0.988	0.442048	2.383	1.0662
-88.92773	88.59375	223.522	224.507	225.898	0.985	0.440673	2.376	1.06298
-88.92773	90	223.546	224.536	225.911	0.99	0.442862	2.365	1.05795
-88.92773	91.40625	223.568	224.553	225.937	0.985	0.440582	2.369	1.05963
-88.92773	92.8125	223.593	224.57	225.95	0.977	0.436955	2.357	1.05415
-88.92773	94.21875	223.615	224.589	225.977	0.974	0.43557	2.362	1.05628
-88.92773	95.625	223.649	224.62	226.012	0.971	0.434162	2.363	1.05657
-88.92773	97.03125	223.678	224.654	226.035	0.976	0.436342	2.357	1.05375
-88.92773	98.4375	223.712	224.679	226.066	0.967	0.432252	2.354	1.05225
-88.92773	99.84375	223.754	224.712	226.103	0.958	0.428149	2.349	1.04981
-88.92773	101.25	223.797	224.75	226.14	0.953	0.425832	2.343	1.04693
-88.92773	102.65625	223.84	224.792	226.18	0.952	0.425304	2.34	1.04539
-88.92773	104.0625	223.886	224.843	226.221	0.957	0.42745	2.335	1.04294
-88.92773	105.46875	223.932	224.885	226.266	0.953	0.425576	2.334	1.04228
-88.92773	106.875	223.984	224.923	226.319	0.939	0.419226	2.335	1.04249
-88.92773	108.28125	224.035	224.979	226.358	0.944	0.421363	2.323	1.03689
-88.92773	109.6875	224.084	225.031	226.399	0.947	0.422609	2.315	1.03309
