GID_GRUMP	GEONAMEIDS	ASCIINAMES	GEONAME_POP	GRUMP_POP
2815	496278|506763|524299|524305|546554|562245|795243	Gadzhiyevo|Kola|Murmansk|Murmashi|Polyarnyy|Severomorsk|Snezhnogorsk	441507	450692
2852	3153823	Harstad	19433	14540
2961	3144987	Narvik	14114	11227
3269	515698|525404	Monchegorsk|Olenegorsk	73538	70421
3425	543508	Kovdor	19518	21492
3436	548391|581357	Apatity|Kirovsk	90791	75451
3479	1486910|1486913	Vorgashor|Vorkuta	98985	122183
3502	506762	"Polyarnyye Zori"	15092	11348
3520	3160881	Bodo	34073	20967
3557	553190	Kandalaksha	38431	33227
3932	1500933	Labytnangi	27067	24987
3968	1493197	Salekhard	38025	23287
4026	638936	Rovaniemi	34781	37095
4122	3145614	"Mo i Rana"	17853	16174
4231	863061	Usinsk	44078	16736
4619	653281	Kemi	22641	40548
4621	2633274	Akureyri	17693	16340
4770	604490|606531	Boden|Lulea	63776	52789
4999	603570	Pitea	22044	20490
5041	511794	Pechora	46113	13887
5300	643492|652858|653252|658629	Haukipudas|Kempele|Kiiminki|Oulu	172278	164545
5423	5859699|5861897|5879898	Badger|College|Fairbanks	63981	79090
5498	543899	Kostomuksha	30135	25212
5562	602913	Skelleftea	30839	32150
5600	640276	Raahe	22217	19845
5678	518909|581049	Arkhangel'sk|Novodvinsk	398951	543162
5823	654899	Kajaani	35375	24206
5827	3421319	Nuuk	14798	13465
6001	630768	Ylivieska	13159	10366
6034	3413829|3415212|3416706|3417195	Gardabaer|Hafnarfjoerdur|Kopavogur|Reykjavik	188866	157596
6300	651943	Kokkola	35586	26101
6342	602150	Umea	74005	69253
6343	3136947	Steinkjer	20000	28326
6355	497927	Segezha	33354	27816
6394	642455|656130	Jakobstad|Pedersoere	29674	21692
6513	656820	Iisalmi	22588	15598
6603	479411|490391	Sosnogorsk|Ukhta	131530	112646
6923	2686469	Ornskoldsvik	27749	18996
7022	1496503	Noyabrsk	110000	88694
7086	3149312	Kristiansund	16785	19578
7171	2685750	Ostersund	42940	23081
7187	3133880|3136765	Stjordalshalsen|Trondheim	158555	211905
7257	632978|651299	Korsholm|Vaasa	74190	77252
7368	636947	Siilinjaervi	20209	30387
7539	650224	Kuopio	89104	42730
7610	3145580	Molde	18594	21862
7718	2707684	Haernoesand	17016	14057
