geonameid,name,asciiname,latitude,longitude,population
14256,Āzādshahr,Azadshahr,34.79049,48.57011,514102
18918,Protaras,Protaras,35.0125,34.05833,20230
23814,Kahrīz,Kahriz,34.3838,47.0553,766706
24851,Nūrābād,Nurabad,34.0734,47.9725,73528
32723,Īstgāh-e Rāh Āhan-e Garmsār,Istgah-e Rah Ahan-e Garmsar,35.23455,52.30942,49491
32767,Qarchak,Qarchak,35.42867,51.57544,251834
32909,Shahre Jadide Andisheh,Shahre Jadide Andisheh,35.6803,51.0193,80000
41210,Khorramdarreh,Khorramdarreh,36.20898,49.19152,50528
49747,Xuddur,Xuddur,4.12129,43.88945,12500
50672,Wanlaweyn,Wanlaweyn,2.6185,44.8938,22022
52867,Qoryooley,Qoryooley,1.78784,44.52999,51720
53157,Qandala,Qandala,11.47197,49.87282,15923
53654,Mogadishu,Mogadishu,2.03711,45.34375,2587183
54225,Marka,Marka,1.71594,44.77166,230100
54715,Luuq,Luuq,3.81326,42.54533,33820
55671,Kismayo,Kismayo,-0.35817,42.54536,234852
56166,Jilib,Jilib,0.48829,42.78535,43694
56335,Jawhar,Jawhar,2.78087,45.50048,47086
56399,Jamaame,Jamaame,0.06968,42.74497,185270
57000,Hobyo,Hobyo,5.3505,48.5268,12564
57289,Hargeysa,Hargeysa,9.56,44.065,477876
58933,Garoowe,Garoowe,8.40207,48.48284,57300
58994,Garbahaarrey,Garbahaarrey,3.32892,42.22091,12652
59611,Gaalkacyo,Gaalkacyo,6.76972,47.43083,61200
60019,Eyl,Eyl,7.9803,49.8164,18904
62691,Ceerigaabo,Ceerigaabo,10.61616,47.36795,33853
62788,Ceeldheer,Ceeldheer,3.84878,47.18064,26562
63571,Buurhakaba,Buurhakaba,2.80257,44.07806,27792
63689,Buulobarde,Buulobarde,3.85375,45.56744,16928
63795,Burao,Burao,9.52212,45.53363,99270
64013,Bosaso,Bosaso,11.28421,49.18158,74287
64412,Bereeda,Bereeda,11.87037,51.05795,11262
64435,Berbera,Berbera,10.43959,45.01432,242344
64460,Beledweyne,Beledweyne,4.73583,45.20361,55410
64536,Baidoa,Baidoa,3.11383,43.6498,129839
64814,Bandarbeyla,Bandarbeyla,9.4942,50.8122,13753
65170,Baardheere,Baardheere,2.34464,42.27644,42240
65785,Afgooye,Afgooye,2.1381,45.1212,65461
66093,Yasuj,Yasuj,30.66824,51.58796,96786
69426,Zinjibār,Zinjibar,13.12871,45.38073,19879
69500,Zabīd,Zabid,14.1951,43.31518,52590
69559,Yarīm,Yarim,14.29804,44.37795,33050
70225,Ta‘izz,Ta`izz,13.57952,44.02091,615222
70979,Sayyān,Sayyan,15.17177,44.32442,69404
71137,Sanaa,Sanaa,15.35472,44.20667,1937451
71273,Saḩar,Sahar,15.31586,44.30858,31859
71334,Sa'dah,Sa'dah,16.94021,43.76394,51870
72968,Ma'rib,Ma'rib,15.46253,45.32581,16794
73560,Laḩij,Lahij,13.05667,44.88194,23375
74219,Jawf al Maqbābah,Jawf al Maqbabah,13.83783,45.83488,14175
74477,Ibb,Ibb,13.96667,44.18333,234837
75337,Ḩajjah,Hajjah,15.69425,43.60582,43549
76154,Dhī as Sufāl,Dhi as Sufal,13.83446,44.11469,37997
76184,Dhamār,Dhamar,14.54274,44.40514,160114
76991,Bayt al Faqīh,Bayt al Faqih,14.51635,43.32446,34204
77408,Bājil,Bajil,15.05835,43.28506,48218
77726,Ataq,Ataq,14.53766,46.83187,37315
78428,‘Amrān,'Amran,15.6594,43.94385,90792
78754,Al Mukallā,Al Mukalla,14.54248,49.12424,258132
78977,Al Maḩwīt,Al Mahwit,15.47007,43.54481,10593
79415,Al Ḩudaydah,Al Hudaydah,14.79781,42.95452,617871
79455,Al Ḩazm,Al Hazm,16.16406,44.77692,18241
79700,Al Ghayz̧ah,Al Ghayzah,16.20787,52.17605,10948
79836,Al Bayḑā’,Al Bayda',13.98523,45.57272,37821
80384,Dhalie,Dhalie,13.69572,44.73137,14760
81302,Tobruk,Tobruk,32.08361,23.97639,121052
81604,Sulūq,Suluq,31.66818,20.25205,15543
87205,Darnah,Darnah,32.76704,22.63669,78782
88319,Benghazi,Benghazi,32.11486,20.06859,650629
88380,Az Zuwaytīnah,Az Zuwaytinah,30.9522,20.12022,21015
88562,At Tāj,At Taj,24.20487,23.2857,46050
88834,Tūkrah,Tukrah,32.53414,20.57911,23164
88835,Al Qubbah,Al Qubbah,32.76162,22.24237,24631
88903,Al Marj,Al Marj,32.48798,20.83174,85315
88962,Al Jawf,Al Jawf,24.1989,23.29093,17320
89055,Al Bayḑā’,Al Bayda',32.76272,21.75506,74594
89087,Al Abyār,Al Abyar,32.19,20.59653,32563
89113,Ajdabiya,Ajdabiya,30.75545,20.22626,134358
89570,Zākhū,Zakhu,37.14805,42.70355,95052
89824,Umm Qaşr,Umm Qasr,30.0362,47.91951,107620
90026,Tozkhurmato,Tozkhurmato,34.88808,44.63256,59886
90150,Tikrīt,Tikrit,34.61581,43.67861,42477
